"id";"text";"created_at";"author_id";"author_name";"like_count";"retweet_count";"quote_count";"reply_count";"reference_type";"referenced_tweet_id";"referenced_tweet_author_id"
"1226073204764135426";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:20:06.000Z";"1068625896930725889";"Ducati Acordabrasil";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226073194773135360";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:20:03.000Z";"780532176311820288";"Lucas Borges";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226073167636160512";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:19:57.000Z";"169860856";"Erlon de Souza 🇧🇷(Robonildo) 100% Bolsonaro?🇧🇷";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226073119028383745";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:19:45.000Z";"1139635021667622912";"Rose Sardinha 🇧🇷🇺🇸";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226073075747303424";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:19:35.000Z";"1057937016221024259";"Jacque";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226072981757157378";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:19:12.000Z";"830624195851718656";"schituason diphisiu";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226072969639874561";"RT @Haddad_Fernando: De que Guedes chamaria um servidor público que ficou 28 anos sem trabalhar e ainda “rachava” o salário dos funcionário…";"2020-02-08T09:19:09.000Z";"783464623869718528";"Erick Goiabeira Feques.";"0";"3336";"0";"0";"retweeted";"1225887973469773824";"354095556"
"1226072951067414528";"RT @Haddad_Fernando: De que Guedes chamaria um servidor público que ficou 28 anos sem trabalhar e ainda “rachava” o salário dos funcionário…";"2020-02-08T09:19:05.000Z";"2743898332";"Édina Liberti";"0";"3336";"0";"0";"retweeted";"1225887973469773824";"354095556"
"1226072944255868928";"RT @jairbolsonaro: - Operação Regresso.
- Decolando rumo ao Brasil. https://t.co/xcm2qnWJ1X";"2020-02-08T09:19:03.000Z";"49026442";"benjamin";"0";"3159";"0";"0";"retweeted";"1225903982301843457";"128372940"
"1226072914195369985";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:18:56.000Z";"849995380129501184";"Alfredo  Pinheiro";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226072884566724609";"RT @jairbolsonaro: Junto com o @mdregional_br , entregamos milhares de moradias populares, sendo 3.012 casas e 1.088 apartamentos na Paraíb…";"2020-02-08T09:18:49.000Z";"1069617782554284032";"JLordelo";"0";"6395";"0";"0";"retweeted";"1193988446878089217";"128372940"
"1226072873837768705";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:18:47.000Z";"1108189942956597253";"Paschoal Júnior";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
"1226072812122705920";"RT @Haddad_Fernando: De que Guedes chamaria um servidor público que ficou 28 anos sem trabalhar e ainda “rachava” o salário dos funcionário…";"2020-02-08T09:18:32.000Z";"76409134";"paschoal  barreto";"0";"3336";"0";"0";"retweeted";"1225887973469773824";"354095556"
"1226072803318861824";"RT @jairbolsonaro: - Homenagem 'Anime'.
- Parabéns ao autor pelo talento e muito obrigado pelo apoio! 👍
- A todos um excelente fim de seman…";"2020-02-08T09:18:30.000Z";"1197531477992443907";"Tonho Mack Jack";"0";"7017";"0";"0";"retweeted";"1225954957263855617";"128372940"
